0,male,21,4You,989.07,93847.58,176053.77,178,527.23,1.37,71,16014.92,225.56,27,192068.69
1,male,37,4You,818.9,6103.78,9826.78,12,508.65,1.32,2,386.72,193.36,2,10213.5
2,female,48,4You,906.92,134581.9,237613.52,262,513.67,1.34,97,20088.12,207.09,36,257701.63999999998
3,female,23,4You,936.91,201417.6,372891.73,398,506.07,1.32,138,29974.11,217.2,60,402865.83999999997
4,female,44,4You,957.39,206146.28,381042.58,398,517.96,1.35,144,31657.7,219.85,56,412700.28
5,none,47,4You,1019.17,69545.52,130454.02,128,543.32,1.41,27,5896.05,218.37,13,136350.07
6,male,46,4You,918.63,81890.24,150654.72,164,499.33,1.3,58,12455.94,214.76,23,163110.66
7,female,21,4You,905.21,47501.36,94141.91,104,456.74,1.19,36,6563.26,182.31,14,100705.17
8,none,41,4You,951.41,176350.82,332992.93,350,503.86,1.31,136,31862.35,234.28,52,364855.27999999997
9,none,35,4You,955.69,120664.7,219809.22,230,524.63,1.36,91,17970.31,197.48,32,237779.53
10,male,36,4You,894.22,63467.08,114460.3,128,495.84,1.29,45,9811.11,218.02,17,124271.41
11,female,61,4You,923.8,190230.36,354737.81,384,495.39,1.29,134,29470.02,219.93,54,384207.83
12,male,53,4You,926.9,67141.3,129765.88,140,479.58,1.25,64,13334.07,208.34,26,143099.95
13,none,36,4You,945.45,185605.68,338470.33,358,518.45,1.35,136,29596.76,217.62,50,368067.09
14,male,37,4You,933.18,40888.58,74654.27,80,511.11,1.33,22,4939.51,224.52,9,79593.78
15,female,56,4You,924.27,151042.82,273582.51,296,510.28,1.33,115,22060.22,191.83,47,295642.73
16,female,47,4You,931.65,158936.06,290675.53,312,509.41,1.32,113,24420.43,216.11,50,315095.96
17,none,25,4You,857.43,35534.18,65164.67,76,467.56,1.21,20,4264.91,213.25,8,69429.58
18,none,65,4You,921.27,136065.96,246901.04,268,507.71,1.32,90,18862.12,209.58,40,265763.16000000003
19,male,22,4You,980.57,84965.7,162774.73,166,511.84,1.33,88,20149.0,228.97,31,182923.73
20,female,65,4You,917.01,75962.2,141219.24,154,493.26,1.28,63,13277.72,210.76,25,154496.96
21,female,56,4You,975.41,212361.62,388211.9,398,533.57,1.39,133,26541.16,199.56,53,414753.06
22,female,51,4You,905.33,139628.96,253491.06,280,498.67,1.3,120,24703.28,205.86,47,278194.33999999997
23,male,35,4You,909.26,149056.94,265503.05,292,510.47,1.33,94,22122.59,235.35,39,287625.64
24,male,60,4You,962.34,45037.74,78912.18,82,549.24,1.43,35,6938.09,198.23,11,85850.26999999999
25,female,64,4You,938.48,94821.74,174557.64,186,509.79,1.32,70,13544.95,193.5,27,188102.59000000003
26,female,49,4You,948.34,94272.26,176392.13,186,506.84,1.32,64,12833.34,200.52,27,189225.47
27,male,62,4You,945.51,80290.68,143718.03,152,528.23,1.37,59,12842.66,217.67,23,156560.69
28,female,46,4You,924.32,9595.06,18486.31,20,479.75,1.25,9,1363.61,151.51,4,19849.920000000002
29,female,35,4You,899.96,23595.66,46798.16,52,453.76,1.18,14,3659.45,261.39,6,50457.61
30,female,59,4You,734.46,8023.76,17627.13,24,334.32,0.87,12,2191.88,182.66,4,19819.010000000002
31,none,40,4You,851.78,37730.8,73253.22,86,438.73,1.14,30,5210.83,173.69,12,78464.05
32,male,44,4You,958.0,191561.24,354461.1,370,517.73,1.35,132,29303.32,221.99,53,383764.42
34,female,21,4You,927.87,159806.3,298775.37,322,496.29,1.29,88,20673.47,234.93,39,319448.83999999997
35,none,34,4You,885.51,42426.74,81467.12,92,461.16,1.2,31,5075.28,163.72,12,86542.4
36,none,56,4You,854.9,66397.42,128235.13,150,442.65,1.15,77,14072.46,182.76,28,142307.59
37,none,27,4You,783.51,14099.32,21938.31,28,503.55,1.31,8,1442.85,180.36,3,23381.16
38,female,47,4You,931.87,101265.6,191965.2,206,491.58,1.28,67,14803.39,220.95,27,206768.59000000003
39,female,48,4You,927.08,143112.34,268852.64,290,493.49,1.28,116,24099.48,207.75,43,292952.12
40,none,42,4You,926.74,182285.02,333625.3,360,506.35,1.32,121,25534.9,211.03,51,359160.2
41,female,62,4You,928.04,175052.4,326668.38,352,497.31,1.29,139,30217.25,217.39,56,356885.63
43,female,24,4You,903.69,79774.14,144590.62,160,498.59,1.3,81,16947.39,209.23,34,161538.01
44,male,21,4You,905.5,93982.12,181099.47,200,469.91,1.22,82,16024.15,195.42,31,197123.62
45,female,54,4You,978.26,124837.42,224999.84,230,542.77,1.41,68,11361.48,167.08,28,236361.32
46,male,42,4You,990.76,149663.88,283356.03,286,523.3,1.36,141,32922.49,233.49,55,316278.52
47,male,28,4You,888.33,138441.34,241626.54,272,508.98,1.32,106,22859.35,215.65,41,264485.89
48,male,46,4You,1016.15,46791.02,85356.41,84,557.04,1.45,36,7397.29,205.48,14,92753.7
49,male,55,4You,895.98,143043.14,274170.94,306,467.46,1.21,118,24578.46,208.29,49,298749.4
50,female,56,4You,941.4,112153.2,210874.0,224,500.68,1.3,76,14889.46,195.91,31,225763.46
51,female,39,4You,575.88,1230.86,2303.51,4,307.72,0.8,6,1145.94,190.99,2,3449.4500000000003
52,female,55,4You,923.48,188568.28,349075.15,378,498.86,1.3,126,26383.05,209.39,52,375458.2
53,female,23,4You,944.48,18982.8,32112.21,34,558.32,1.45,17,3657.06,215.12,7,35769.27
54,female,21,4You,959.04,106341.36,189890.01,198,537.08,1.4,78,17764.39,227.75,29,207654.40000000002
55,none,38,4You,967.43,128936.64,239923.87,248,519.91,1.35,112,24626.58,219.88,50,264550.45
56,none,39,4You,891.16,184709.12,333292.82,374,493.87,1.28,138,27986.23,202.8,51,361279.05
57,female,32,4You,903.55,44534.56,81319.48,90,494.83,1.29,30,6505.98,216.87,11,87825.45999999999
58,male,37,4You,989.7,39286.66,73237.7,74,530.9,1.38,18,4702.7,261.26,7,77940.4
59,none,29,4You,886.5,33708.52,63828.01,72,468.17,1.22,18,4145.7,230.32,8,67973.71
60,male,47,4You,915.67,176390.46,324147.9,354,498.28,1.29,108,20143.35,186.51,53,344291.25
61,female,61,4You,924.12,161896.1,301261.83,326,496.61,1.29,146,31358.79,214.79,58,332620.62
62,none,32,4You,931.44,158528.12,296196.57,318,498.52,1.3,81,19729.52,243.57,35,315926.09
63,male,22,4You,925.85,136485.56,259239.4,280,487.45,1.27,103,23102.88,224.3,47,282342.27999999997
64,female,41,4You,921.03,185933.1,337098.23,366,508.01,1.32,149,30747.95,206.36,58,367846.18
65,none,51,4You,928.49,131720.72,230265.94,248,531.13,1.38,111,25112.2,226.24,41,255378.14
66,none,52,4You,948.72,66082.1,119538.3,126,524.46,1.36,44,9503.18,215.98,19,129041.48000000001
67,female,41,4You,913.5,150357.16,274049.06,300,501.19,1.3,115,25971.28,225.84,45,300020.33999999997
68,female,62,4You,929.21,129077.92,245311.09,264,488.93,1.27,95,20683.93,217.73,45,265995.02
69,none,22,4You,908.99,133749.0,249062.64,274,488.14,1.27,81,16685.67,206.0,32,265748.31
70,male,57,4You,930.05,152507.96,275294.32,296,515.23,1.34,112,24038.91,214.63,45,299333.23
71,none,49,4You,944.97,24726.66,47248.65,50,494.53,1.29,21,4181.18,199.1,10,51429.83
72,none,22,4You,888.71,92816.3,170632.38,192,483.42,1.26,72,15414.3,214.09,31,186046.68
